SRR          CE              FP               GO              IOGA  NP  OA
SRR1945804:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945805:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945806:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945807:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945808:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945809:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945810:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945812:  INCOMPLETE_low  PARTIAL          INCOMPLETE_low  -     -   -
SRR1945813:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945814:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945816:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945817:  SUCCESS         SUCCESS          -               -     -   -
SRR1945818:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945820:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945821:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945822:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945823:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945824:  INCOMPLETE_low  ERROR            ERROR           -     -   -
SRR1945825:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945826:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945827:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945828:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945829:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945830:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945831:  SUCCESS         SUCCESS          -               -     -   -
SRR1945833:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945834:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945835:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945837:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945838:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945839:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945840:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945841:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
